subject,fid,Qtype,response
seph1603,44520094,5,0
seph1603,44520094,6,0
seph1603,27799536,3,0
seph1603,27799536,5,0
seph1603,27799536,6,0
seph1603,6316602,1,0
seph1603,6316602,4,0
seph1603,6316602,6,0
seph1603,44820972,1,0
seph1603,44820972,2,0
seph1603,44820972,3,0
seph1603,27804446,2,0
seph1603,27804446,4,0
seph1603,27804446,6,0
seph1603,8867848,1,0
seph1603,8867848,3,0
seph1603,8867848,4,0
seph1603,10578378,1,0
seph1603,10578378,2,0
seph1603,10578378,6,0
contact,27802284,2,2
contact,6316124,3,0
contact,6316124,4,0
contact,6316124,5,0
contact,27798255,1,2
contact,27798255,4,0
contact,27798255,5,0
contact,27798255,6,0
contact,32134448,2,0
contact,32134448,3,0
contact,32134448,5,0
contact,27804279,1,0
contact,27804279,4,0
contact,27804279,5,0
contact,27805178,1,2
contact,27805178,3,3
contact,27805178,5,0
contact,10577247,2,0
contact,10577247,5,1
contact,8867670,2,0
contact,8867670,2,0
contact,8867670,2,2
contact,8867670,3,1
contact,44520272,1,1
contact,44520272,3,1
contact,44520272,5,2
contact,4661268,1,1
contact,4661268,3,0
contact,4661268,5,1
romulodiniz,44520148,2,1
romulodiniz,44520148,3,0
romulodiniz,44520148,6,0
romulodiniz,27800619,2,2
romulodiniz,27800619,3,0
romulodiniz,27800619,3,2
romulodiniz,27800619,5,1
romulodiniz,47632544,1,0
romulodiniz,47632544,4,0
romulodiniz,47632544,5,0
romulodiniz,32134598,1,1
romulodiniz,32134598,2,4
romulodiniz,32134598,5,0
romulodiniz,44520124,1,1
romulodiniz,44520124,4,0
romulodiniz,44520124,6,0
romulodiniz,27796431,1,0
romulodiniz,27796431,4,0
romulodiniz,27796431,5,3
romulodiniz,27802905,1,1
romulodiniz,27802905,2,0
romulodiniz,27802905,5,2
romulodiniz,44820931,3,1
romulodiniz,44820931,4,0
romulodiniz,44820931,5,0
romulodiniz,27803446,2,0
romulodiniz,27803446,3,0
romulodiniz,27803446,4,0
romulodiniz,27804279,3,0
romulodiniz,27804279,4,0
romulodiniz,27804279,5,0
romulodiniz,22907701,1,0
romulodiniz,22907701,3,0
romulodiniz,22907701,5,0
romulodiniz,10577085,1,0
romulodiniz,10577085,2,0
romulodiniz,10577085,6,0
romulodiniz,10576888,2,0
romulodiniz,10576888,3,0
romulodiniz,10576888,5,0
romulodiniz,27797891,1,0
romulodiniz,27797891,2,0
romulodiniz,27797891,5,0
romulodiniz,10577421,1,0
romulodiniz,10577421,4,0
romulodiniz,10577421,6,0
seiumiut,27799545,1,0
seiumiut,27799545,3,2
seiumiut,27799545,5,0
seiumiut,27802216,1,0
seiumiut,27802216,2,0
seiumiut,27802216,5,0
seiumiut,27802216,6,0
seiumiut,10578378,1,0
seiumiut,10578378,2,1
seiumiut,10578378,6,0
seiumiut,22907980,2,0
seiumiut,22907980,3,0
seiumiut,22907980,4,0
seiumiut,27796391,1,0
seiumiut,27796391,2,0
seiumiut,27796391,4,0
seiumiut,7349138,1,0
seiumiut,7349138,3,1
seiumiut,7349138,5,0
seiumiut,22907932,3,0
seiumiut,22907932,4,0
seiumiut,22907932,5,0
seiumiut,10579035,3,0
seiumiut,10579035,4,1
seiumiut,27797891,2,0
seiumiut,27797891,4,0
seiumiut,27797891,5,0
seiumiut,32134448,1,0
seiumiut,32134448,5,0
seiumiut,32134448,6,0
seiumiut,27796852,1,0
seiumiut,27796852,4,0
seiumiut,27796852,6,0
seiumiut,10577093,1,0
seiumiut,10577093,5,0
seiumiut,10577093,6,0
seiumiut,27802905,1,0
seiumiut,27802905,5,0
seiumiut,27802905,6,0
slymntkn34,10578378,5,1
slymntkn34,44520387,2,0
slymntkn34,44520387,4,0
slymntkn34,44520387,5,0
slymntkn34,27801385,2,0
slymntkn34,27801385,3,1
slymntkn34,27801385,5,0
slymntkn34,10577902,2,0
slymntkn34,10577902,3,0
slymntkn34,10577902,5,0
slymntkn34,10577902,6,0
slymntkn34,10578077,4,0
slymntkn34,10578077,5,0
slymntkn34,10578077,6,0
slymntkn34,22908006,2,3
slymntkn34,22908006,5,0
slymntkn34,22907701,1,1
slymntkn34,22907701,5,0
slymntkn34,22907701,6,0
slymntkn34,10577421,1,0
slymntkn34,10577421,4,0
slymntkn34,10577421,5,0
slymntkn34,10577146,1,0
slymntkn34,10577146,4,0
slymntkn34,10577146,6,0
slymntkn34,44520762,2,1
slymntkn34,44520762,3,0
slymntkn34,44520762,6,0
slymntkn34,27799911,2,0
slymntkn34,27799911,3,0
slymntkn34,27799911,4,0
slymntkn34,27799911,5,0
slymntkn34,10576318,4,0
slymntkn34,10576318,5,0
slymntkn34,10576318,6,0
tuj80000,44520084,2,0
tuj80000,44520084,5,0
tuj80000,44520084,5,1
tuj80000,22907980,1,0
tuj80000,22907980,3,0
tuj80000,22907980,4,0
tuj80000,44820931,1,0
tuj80000,44820931,2,2
tuj80000,44820931,3,0
tuj80000,44820931,5,0
tuj80000,10577421,4,3
tuj80000,10577421,5,1
tuj80000,22908000,1,1
tuj80000,22908000,2,2
tuj80000,22908000,5,0
tuj80000,32134448,2,0
tuj80000,32134448,5,0
tuj80000,44520208,1,0
tuj80000,44520208,3,0
tuj80000,44520208,4,0
tuj80000,27796509,3,0
tuj80000,27796509,4,1
tuj80000,27796509,5,0
tuj80000,10577596,1,0
tuj80000,10577596,4,0
tuj80000,10577596,5,0
tuj80000,44520094,1,0
tuj80000,44520094,3,0
tuj80000,44520094,5,0
tuj80000,27805178,2,0
tuj80000,27805178,3,1
tuj80000,27805178,5,3
tuj80000,27799545,3,0
tuj80000,27799545,5,0
tuj80000,27797205,1,0
tuj80000,27797205,3,0
tuj80000,27797205,5,0
tuj80000,47632544,3,0
tuj80000,47632544,4,0
tuj80000,47632544,5,0
tuj80000,22907673,1,0
tuj80000,22907673,3,0
tuj80000,22907673,4,0
tuj80000,27797891,3,0
tuj80000,27797891,4,0
tuj80000,27797891,5,0
tuj80000,10578517,2,0
tuj80000,10578517,4,0
tuj80000,10578517,5,0
agoswam2,44520208,1,1
agoswam2,44520208,2,1
agoswam2,44520208,4,0
agoswam2,22908000,1,0
agoswam2,22908000,2,0
agoswam2,22908000,4,0
agoswam2,27798250,2,0
agoswam2,27798250,4,1
agoswam2,27798250,5,3
agoswam2,47632533,1,0
agoswam2,47632533,3,1
agoswam2,47632533,6,1
